,ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Formua de Venda,Regiao
31012,31013,2023-03-28,São Paulo,Notebook HP,3200.0,10,Cliente_5829,32000.0,Presencial,Sudeste
31013,31014,2023-08-29,São Paulo,iPhone 14,5500.0,10,Cliente_21146,55000.0,Presencial,Sudeste
31019,31020,2023-01-27,São Paulo,Teclado Mecânico,250.0,1,Cliente_27869,250.0,Presencial,Sudeste
31032,31033,2023-02-18,São Paulo,Cabo HDMI,40.0,1,Cliente_15335,40.0,Presencial,Sudeste
31036,31037,2023-10-16,São Paulo,iPhone 14,5500.0,1,Cliente_29895,5500.0,Presencial,Sudeste
31037,31038,2023-03-24,São Paulo,"Monitor 27""",1200.0,1,Cliente_19111,1200.0,Presencial,Sudeste
31039,31040,2023-06-07,São Paulo,Smartphone Samsung,2200.0,1,Cliente_12410,2200.0,Presencial,Sudeste
31041,31042,2023-10-09,São Paulo,Notebook Dell,3500.0,3,Cliente_3991,10500.0,Presencial,Sudeste
31043,31044,2024-11-29,São Paulo,Cabo HDMI,40.0,1,Cliente_15594,40.0,Presencial,Sudeste
31046,31047,2024-12-15,São Paulo,Notebook HP,3200.0,2,Cliente_29074,6400.0,Presencial,Sudeste
31055,31056,2023-08-19,São Paulo,Mouse Gamer,120.0,2,Cliente_28967,240.0,Presencial,Sudeste
31057,31058,2024-06-23,São Paulo,iPhone 14,5500.0,1,Cliente_10334,5500.0,Presencial,Sudeste
31059,31060,2024-12-20,São Paulo,Teclado Mecânico,250.0,1,Cliente_29863,250.0,Presencial,Sudeste
31066,31067,2024-07-07,São Paulo,"Monitor 27""",1200.0,5,Cliente_1569,6000.0,Presencial,Sudeste
31067,31068,2024-08-28,São Paulo,Smartphone Samsung,2200.0,1,Cliente_14380,2200.0,Presencial,Sudeste
31080,31081,2023-10-23,São Paulo,Teclado Mecânico,250.0,1,Cliente_24827,250.0,Presencial,Sudeste
31087,31088,2023-04-30,São Paulo,Mouse Gamer,120.0,1,Cliente_15707,120.0,Presencial,Sudeste
31101,31102,2024-08-15,São Paulo,Mouse Gamer,120.0,1,Cliente_12249,120.0,Presencial,Sudeste
31106,31107,2023-05-27,São Paulo,Notebook Dell,3500.0,1,Cliente_19250,3500.0,Presencial,Sudeste
31124,31125,2023-05-01,São Paulo,"Monitor 27""",1200.0,1,Cliente_6144,1200.0,Presencial,Sudeste
31136,31137,2023-10-25,São Paulo,Smartphone Samsung,2200.0,1,Cliente_21128,2200.0,Presencial,Sudeste
31137,31138,2023-03-27,São Paulo,Teclado Mecânico,250.0,2,Cliente_11944,500.0,Presencial,Sudeste
31142,31143,2023-03-30,São Paulo,Mouse Gamer,120.0,1,Cliente_14625,120.0,Presencial,Sudeste
31155,31156,2024-04-10,São Paulo,iPhone 14,5500.0,2,Cliente_3623,11000.0,Presencial,Sudeste
31159,31160,2023-12-23,São Paulo,Notebook HP,3200.0,2,Cliente_7637,6400.0,Presencial,Sudeste
31174,31175,2024-04-17,São Paulo,Cabo HDMI,40.0,1,Cliente_5874,40.0,Presencial,Sudeste
31194,31195,2024-06-28,São Paulo,Notebook Dell,3500.0,1,Cliente_16896,3500.0,Presencial,Sudeste
31195,31196,2023-09-08,São Paulo,Notebook HP,3200.0,2,Cliente_6192,6400.0,Presencial,Sudeste
31202,31203,2024-10-15,São Paulo,Notebook HP,3200.0,2,Cliente_694,6400.0,Presencial,Sudeste
31217,31218,2023-11-08,São Paulo,Smartphone Samsung,2200.0,1,Cliente_23258,2200.0,Presencial,Sudeste
31220,31221,2023-05-01,São Paulo,"Monitor 27""",1200.0,1,Cliente_4219,1200.0,Presencial,Sudeste
31223,31224,2024-06-28,São Paulo,Notebook Dell,3500.0,1,Cliente_14084,3500.0,Presencial,Sudeste
31224,31225,2023-12-07,São Paulo,Notebook HP,3200.0,1,Cliente_10237,3200.0,Presencial,Sudeste
31228,31229,2024-09-10,São Paulo,Teclado Mecânico,250.0,1,Cliente_9256,250.0,Presencial,Sudeste
31234,31235,2024-09-20,São Paulo,"Monitor 27""",1200.0,2,Cliente_11575,2400.0,Presencial,Sudeste
31235,31236,2023-07-01,São Paulo,Mouse Gamer,120.0,1,Cliente_6980,120.0,Presencial,Sudeste
31260,31261,2023-04-08,São Paulo,iPhone 14,5500.0,3,Cliente_7693,16500.0,Presencial,Sudeste
31264,31265,2024-02-29,São Paulo,"Monitor 27""",1200.0,1,Cliente_3279,1200.0,Presencial,Sudeste
31270,31271,2023-07-07,São Paulo,iPhone 14,5500.0,1,Cliente_7133,5500.0,Presencial,Sudeste
31273,31274,2024-08-09,São Paulo,iPhone 14,5500.0,1,Cliente_4436,5500.0,Presencial,Sudeste
31274,31275,2023-09-03,São Paulo,Teclado Mecânico,250.0,10,Cliente_29871,2500.0,Presencial,Sudeste
31279,31280,2023-06-29,São Paulo,Mouse Gamer,120.0,1,Cliente_20619,120.0,Presencial,Sudeste
31289,31290,2023-11-24,São Paulo,Notebook Dell,3500.0,1,Cliente_25874,3500.0,Presencial,Sudeste
31301,31302,2024-05-29,São Paulo,Notebook Dell,3500.0,1,Cliente_27326,3500.0,Presencial,Sudeste
31310,31311,2024-07-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_11593,2200.0,Presencial,Sudeste
31314,31315,2024-12-22,São Paulo,iPhone 14,5500.0,1,Cliente_23281,5500.0,Presencial,Sudeste
31321,31322,2024-11-19,São Paulo,Notebook Dell,3500.0,1,Cliente_27869,3500.0,Presencial,Sudeste
31324,31325,2024-04-09,São Paulo,Cabo HDMI,40.0,3,Cliente_1738,120.0,Presencial,Sudeste
31335,31336,2024-07-14,São Paulo,Notebook Dell,3500.0,1,Cliente_3605,3500.0,Presencial,Sudeste
31351,31352,2023-11-29,São Paulo,Mouse Gamer,120.0,1,Cliente_18003,120.0,Presencial,Sudeste
31362,31363,2023-11-21,São Paulo,Smartphone Samsung,2200.0,5,Cliente_10809,11000.0,Presencial,Sudeste
31366,31367,2024-06-22,São Paulo,Teclado Mecânico,250.0,1,Cliente_17891,250.0,Presencial,Sudeste
31379,31380,2024-10-13,São Paulo,Teclado Mecânico,250.0,1,Cliente_4817,250.0,Presencial,Sudeste
31386,31387,2024-09-26,São Paulo,Teclado Mecânico,250.0,1,Cliente_1104,250.0,Presencial,Sudeste
31392,31393,2023-10-26,São Paulo,Cabo HDMI,40.0,5,Cliente_6223,200.0,Presencial,Sudeste
31396,31397,2024-03-28,São Paulo,Mouse Gamer,120.0,1,Cliente_1307,120.0,Presencial,Sudeste
31401,31402,2024-12-28,São Paulo,Smartphone Samsung,2200.0,3,Cliente_742,6600.0,Presencial,Sudeste
31409,31410,2023-09-22,São Paulo,Notebook HP,3200.0,1,Cliente_18973,3200.0,Presencial,Sudeste
31411,31412,2023-06-20,São Paulo,Cabo HDMI,40.0,1,Cliente_27910,40.0,Presencial,Sudeste
31414,31415,2024-05-25,São Paulo,Smartphone Samsung,2200.0,1,Cliente_24898,2200.0,Presencial,Sudeste
31417,31418,2023-05-05,São Paulo,Smartphone Samsung,2200.0,1,Cliente_7878,2200.0,Presencial,Sudeste
31422,31423,2023-04-17,São Paulo,Notebook Dell,3500.0,1,Cliente_24420,3500.0,Presencial,Sudeste
31423,31424,2023-07-02,São Paulo,Mouse Gamer,120.0,1,Cliente_27540,120.0,Presencial,Sudeste
31425,31426,2024-10-25,São Paulo,iPhone 14,5500.0,1,Cliente_23739,5500.0,Presencial,Sudeste
31434,31435,2023-01-25,São Paulo,Notebook HP,3200.0,1,Cliente_22128,3200.0,Presencial,Sudeste
31446,31447,2024-12-16,São Paulo,Notebook Dell,3500.0,2,Cliente_14324,7000.0,Presencial,Sudeste
31456,31457,2023-03-11,São Paulo,Mouse Gamer,120.0,5,Cliente_4099,600.0,Presencial,Sudeste
31457,31458,2024-07-28,São Paulo,Teclado Mecânico,250.0,1,Cliente_18237,250.0,Presencial,Sudeste
31463,31464,2023-10-07,São Paulo,Teclado Mecânico,250.0,1,Cliente_4087,250.0,Presencial,Sudeste
31469,31470,2024-05-10,São Paulo,Notebook HP,3200.0,1,Cliente_29958,3200.0,Presencial,Sudeste
31471,31472,2023-10-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_26341,1200.0,Presencial,Sudeste
31473,31474,2023-05-31,São Paulo,"Monitor 27""",1200.0,2,Cliente_1269,2400.0,Presencial,Sudeste
31500,31501,2023-09-13,São Paulo,Notebook Dell,3500.0,1,Cliente_18085,3500.0,Presencial,Sudeste
31514,31515,2023-11-10,São Paulo,iPhone 14,5500.0,1,Cliente_16166,5500.0,Presencial,Sudeste
31518,31519,2024-02-09,São Paulo,Cabo HDMI,40.0,1,Cliente_27053,40.0,Presencial,Sudeste
31535,31536,2023-09-29,São Paulo,"Monitor 27""",1200.0,1,Cliente_3273,1200.0,Presencial,Sudeste
31539,31540,2023-09-29,São Paulo,Teclado Mecânico,250.0,1,Cliente_29331,250.0,Presencial,Sudeste
31553,31554,2023-01-18,São Paulo,iPhone 14,5500.0,3,Cliente_29018,16500.0,Presencial,Sudeste
31555,31556,2024-08-01,São Paulo,Mouse Gamer,120.0,1,Cliente_25825,120.0,Presencial,Sudeste
31558,31559,2023-12-16,São Paulo,Cabo HDMI,40.0,1,Cliente_24344,40.0,Presencial,Sudeste
31563,31564,2023-11-27,São Paulo,Notebook HP,3200.0,3,Cliente_11007,9600.0,Presencial,Sudeste
31568,31569,2024-12-16,São Paulo,Mouse Gamer,120.0,1,Cliente_22364,120.0,Presencial,Sudeste
31575,31576,2023-11-01,São Paulo,Cabo HDMI,40.0,2,Cliente_25490,80.0,Presencial,Sudeste
31590,31591,2023-04-29,São Paulo,Smartphone Samsung,2200.0,1,Cliente_3104,2200.0,Presencial,Sudeste
31611,31612,2024-11-05,São Paulo,Mouse Gamer,120.0,1,Cliente_8879,120.0,Presencial,Sudeste
31629,31630,2024-11-02,São Paulo,Notebook Dell,3500.0,1,Cliente_2195,3500.0,Presencial,Sudeste
31636,31637,2024-02-20,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9002,2200.0,Presencial,Sudeste
31642,31643,2023-12-11,São Paulo,Notebook HP,3200.0,1,Cliente_6429,3200.0,Presencial,Sudeste
31647,31648,2023-03-23,São Paulo,Mouse Gamer,120.0,1,Cliente_840,120.0,Presencial,Sudeste
31657,31658,2024-05-11,São Paulo,Teclado Mecânico,250.0,1,Cliente_19055,250.0,Presencial,Sudeste
31660,31661,2024-04-20,São Paulo,"Monitor 27""",1200.0,1,Cliente_21432,1200.0,Presencial,Sudeste
31661,31662,2023-10-20,São Paulo,iPhone 14,5500.0,2,Cliente_4901,11000.0,Presencial,Sudeste
31669,31670,2024-03-10,São Paulo,Smartphone Samsung,2200.0,3,Cliente_12776,6600.0,Presencial,Sudeste
31671,31672,2023-02-04,São Paulo,Mouse Gamer,120.0,1,Cliente_27434,120.0,Presencial,Sudeste
31672,31673,2024-02-25,São Paulo,Smartphone Samsung,2200.0,2,Cliente_29981,4400.0,Presencial,Sudeste
31680,31681,2024-11-27,São Paulo,iPhone 14,5500.0,1,Cliente_5149,5500.0,Presencial,Sudeste
31688,31689,2023-12-22,São Paulo,Mouse Gamer,120.0,1,Cliente_5882,120.0,Presencial,Sudeste
31692,31693,2024-03-28,São Paulo,Teclado Mecânico,250.0,1,Cliente_16341,250.0,Presencial,Sudeste
31693,31694,2024-04-20,São Paulo,Smartphone Samsung,2200.0,1,Cliente_28958,2200.0,Presencial,Sudeste
31700,31701,2023-06-18,São Paulo,Teclado Mecânico,250.0,3,Cliente_1732,750.0,Presencial,Sudeste
31705,31706,2023-08-31,São Paulo,Notebook Dell,3500.0,1,Cliente_18566,3500.0,Presencial,Sudeste
31708,31709,2024-11-27,São Paulo,iPhone 14,5500.0,1,Cliente_2155,5500.0,Presencial,Sudeste
31709,31710,2023-11-16,São Paulo,Notebook HP,3200.0,1,Cliente_6481,3200.0,Presencial,Sudeste
31713,31714,2024-01-06,São Paulo,Notebook Dell,3500.0,1,Cliente_18868,3500.0,Presencial,Sudeste
31717,31718,2024-11-16,São Paulo,Teclado Mecânico,250.0,1,Cliente_19816,250.0,Presencial,Sudeste
31726,31727,2023-03-22,São Paulo,Cabo HDMI,40.0,1,Cliente_8192,40.0,Presencial,Sudeste
31744,31745,2024-03-05,São Paulo,iPhone 14,5500.0,1,Cliente_11993,5500.0,Presencial,Sudeste
31746,31747,2023-11-22,São Paulo,Smartphone Samsung,2200.0,2,Cliente_22411,4400.0,Presencial,Sudeste
31762,31763,2023-06-14,São Paulo,Notebook Dell,3500.0,2,Cliente_12107,7000.0,Presencial,Sudeste
31763,31764,2023-01-17,São Paulo,Mouse Gamer,120.0,2,Cliente_4620,240.0,Presencial,Sudeste
31766,31767,2024-10-09,São Paulo,Smartphone Samsung,2200.0,1,Cliente_18788,2200.0,Presencial,Sudeste
31771,31772,2024-10-18,São Paulo,"Monitor 27""",1200.0,1,Cliente_25189,1200.0,Presencial,Sudeste
31788,31789,2024-06-25,São Paulo,"Monitor 27""",1200.0,1,Cliente_20579,1200.0,Presencial,Sudeste
31790,31791,2023-03-24,São Paulo,Cabo HDMI,40.0,2,Cliente_1034,80.0,Presencial,Sudeste
31796,31797,2024-06-07,São Paulo,Cabo HDMI,40.0,1,Cliente_10408,40.0,Presencial,Sudeste
31804,31805,2023-12-28,São Paulo,iPhone 14,5500.0,1,Cliente_3812,5500.0,Presencial,Sudeste
31813,31814,2023-01-17,São Paulo,Cabo HDMI,40.0,1,Cliente_21502,40.0,Presencial,Sudeste
31814,31815,2024-05-19,São Paulo,Notebook HP,3200.0,1,Cliente_8827,3200.0,Presencial,Sudeste
31823,31824,2023-07-28,São Paulo,"Monitor 27""",1200.0,1,Cliente_20974,1200.0,Presencial,Sudeste
31827,31828,2024-07-21,São Paulo,Mouse Gamer,120.0,1,Cliente_2395,120.0,Presencial,Sudeste
31833,31834,2024-12-26,São Paulo,Mouse Gamer,120.0,1,Cliente_17425,120.0,Presencial,Sudeste
31837,31838,2024-03-31,São Paulo,iPhone 14,5500.0,1,Cliente_21312,5500.0,Presencial,Sudeste
31838,31839,2023-04-18,São Paulo,Notebook Dell,3500.0,1,Cliente_27044,3500.0,Presencial,Sudeste
31841,31842,2024-06-11,São Paulo,"Monitor 27""",1200.0,1,Cliente_4153,1200.0,Presencial,Sudeste
31854,31855,2024-07-09,São Paulo,Notebook HP,3200.0,2,Cliente_2624,6400.0,Presencial,Sudeste
31857,31858,2023-12-30,São Paulo,Notebook Dell,3500.0,1,Cliente_22944,3500.0,Presencial,Sudeste
31860,31861,2023-05-25,São Paulo,Cabo HDMI,40.0,1,Cliente_12595,40.0,Presencial,Sudeste
31865,31866,2023-06-28,São Paulo,Notebook HP,3200.0,1,Cliente_26913,3200.0,Presencial,Sudeste
31871,31872,2023-11-11,São Paulo,Notebook HP,3200.0,1,Cliente_28709,3200.0,Presencial,Sudeste
31873,31874,2023-05-19,São Paulo,"Monitor 27""",1200.0,1,Cliente_19221,1200.0,Presencial,Sudeste
31874,31875,2023-12-06,São Paulo,iPhone 14,5500.0,1,Cliente_13747,5500.0,Presencial,Sudeste
31879,31880,2023-01-20,São Paulo,iPhone 14,5500.0,1,Cliente_22280,5500.0,Presencial,Sudeste
31883,31884,2024-05-26,São Paulo,"Monitor 27""",1200.0,1,Cliente_21324,1200.0,Presencial,Sudeste
31895,31896,2024-07-14,São Paulo,Teclado Mecânico,250.0,3,Cliente_19035,750.0,Presencial,Sudeste
31897,31898,2023-04-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_29050,1200.0,Presencial,Sudeste
31898,31899,2024-05-09,São Paulo,Teclado Mecânico,250.0,1,Cliente_24335,250.0,Presencial,Sudeste
31902,31903,2023-07-05,São Paulo,Mouse Gamer,120.0,1,Cliente_12966,120.0,Presencial,Sudeste
31909,31910,2023-06-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_15049,2200.0,Presencial,Sudeste
31911,31912,2024-01-29,São Paulo,Notebook HP,3200.0,1,Cliente_1989,3200.0,Presencial,Sudeste
31913,31914,2024-07-21,São Paulo,Cabo HDMI,40.0,1,Cliente_4034,40.0,Presencial,Sudeste
31926,31927,2023-03-24,São Paulo,Teclado Mecânico,250.0,1,Cliente_7999,250.0,Presencial,Sudeste
31928,31929,2024-04-23,São Paulo,"Monitor 27""",1200.0,1,Cliente_17323,1200.0,Presencial,Sudeste
31934,31935,2024-05-17,São Paulo,iPhone 14,5500.0,2,Cliente_23411,11000.0,Presencial,Sudeste
31935,31936,2023-10-10,São Paulo,Notebook HP,3200.0,3,Cliente_18267,9600.0,Presencial,Sudeste
31943,31944,2024-01-19,São Paulo,Notebook HP,3200.0,1,Cliente_2427,3200.0,Presencial,Sudeste
31945,31946,2024-04-20,São Paulo,Teclado Mecânico,250.0,1,Cliente_22307,250.0,Presencial,Sudeste
31948,31949,2023-05-29,São Paulo,Mouse Gamer,120.0,1,Cliente_22982,120.0,Presencial,Sudeste
31953,31954,2023-11-02,São Paulo,"Monitor 27""",1200.0,2,Cliente_28250,2400.0,Presencial,Sudeste
31957,31958,2023-03-10,São Paulo,Teclado Mecânico,250.0,1,Cliente_26056,250.0,Presencial,Sudeste
31969,31970,2023-09-06,São Paulo,Cabo HDMI,40.0,2,Cliente_21642,80.0,Presencial,Sudeste
31973,31974,2024-11-12,São Paulo,Mouse Gamer,120.0,2,Cliente_12870,240.0,Presencial,Sudeste
31980,31981,2023-04-02,São Paulo,Smartphone Samsung,2200.0,1,Cliente_18933,2200.0,Presencial,Sudeste
31993,31994,2024-06-24,São Paulo,Notebook Dell,3500.0,1,Cliente_13166,3500.0,Presencial,Sudeste
31998,31999,2023-11-03,São Paulo,Smartphone Samsung,2200.0,5,Cliente_16688,11000.0,Presencial,Sudeste
32005,32006,2023-09-21,São Paulo,Notebook HP,3200.0,2,Cliente_7704,6400.0,Presencial,Sudeste
32014,32015,2023-03-11,São Paulo,Mouse Gamer,120.0,1,Cliente_29830,120.0,Presencial,Sudeste
32040,32041,2024-11-07,São Paulo,Mouse Gamer,120.0,2,Cliente_11233,240.0,Presencial,Sudeste
32042,32043,2024-06-12,São Paulo,Cabo HDMI,40.0,1,Cliente_10076,40.0,Presencial,Sudeste
32046,32047,2023-03-08,São Paulo,Cabo HDMI,40.0,1,Cliente_1971,40.0,Presencial,Sudeste
32052,32053,2023-11-21,São Paulo,Teclado Mecânico,250.0,1,Cliente_10207,250.0,Presencial,Sudeste
32067,32068,2023-04-03,São Paulo,iPhone 14,5500.0,1,Cliente_18259,5500.0,Presencial,Sudeste
32071,32072,2023-12-23,São Paulo,Notebook HP,3200.0,1,Cliente_29449,3200.0,Presencial,Sudeste
32073,32074,2023-01-19,São Paulo,iPhone 14,5500.0,3,Cliente_3326,16500.0,Presencial,Sudeste
32077,32078,2024-06-24,São Paulo,Notebook HP,3200.0,2,Cliente_17914,6400.0,Presencial,Sudeste
32114,32115,2023-06-06,São Paulo,Notebook Dell,3500.0,1,Cliente_23173,3500.0,Presencial,Sudeste
32124,32125,2023-10-22,São Paulo,Notebook HP,3200.0,1,Cliente_26723,3200.0,Presencial,Sudeste
32126,32127,2024-04-26,São Paulo,Notebook HP,3200.0,1,Cliente_2264,3200.0,Presencial,Sudeste
32129,32130,2024-11-02,São Paulo,Notebook Dell,3500.0,1,Cliente_19161,3500.0,Presencial,Sudeste
32130,32131,2023-05-28,São Paulo,Notebook Dell,3500.0,1,Cliente_29510,3500.0,Presencial,Sudeste
32145,32146,2023-01-08,São Paulo,Cabo HDMI,40.0,1,Cliente_28721,40.0,Presencial,Sudeste
32165,32166,2023-07-22,São Paulo,"Monitor 27""",1200.0,3,Cliente_3917,3600.0,Presencial,Sudeste
32175,32176,2024-06-09,São Paulo,Teclado Mecânico,250.0,2,Cliente_29409,500.0,Presencial,Sudeste
32186,32187,2023-05-04,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9952,2200.0,Presencial,Sudeste
32204,32205,2024-11-15,São Paulo,Cabo HDMI,40.0,1,Cliente_28297,40.0,Presencial,Sudeste
32211,32212,2023-06-18,São Paulo,Teclado Mecânico,250.0,2,Cliente_29012,500.0,Presencial,Sudeste
32222,32223,2024-10-09,São Paulo,Mouse Gamer,120.0,1,Cliente_7319,120.0,Presencial,Sudeste
32223,32224,2024-10-21,São Paulo,Smartphone Samsung,2200.0,1,Cliente_4720,2200.0,Presencial,Sudeste
32229,32230,2024-03-06,São Paulo,iPhone 14,5500.0,10,Cliente_21322,55000.0,Presencial,Sudeste
32231,32232,2023-10-10,São Paulo,Teclado Mecânico,250.0,2,Cliente_14894,500.0,Presencial,Sudeste
32236,32237,2023-12-28,São Paulo,Mouse Gamer,120.0,1,Cliente_23336,120.0,Presencial,Sudeste
32240,32241,2024-03-26,São Paulo,iPhone 14,5500.0,2,Cliente_2350,11000.0,Presencial,Sudeste
32243,32244,2023-03-16,São Paulo,Mouse Gamer,120.0,1,Cliente_11511,120.0,Presencial,Sudeste
32244,32245,2023-02-14,São Paulo,Teclado Mecânico,250.0,1,Cliente_13549,250.0,Presencial,Sudeste
32249,32250,2024-01-22,São Paulo,Mouse Gamer,120.0,1,Cliente_6248,120.0,Presencial,Sudeste
32257,32258,2023-05-25,São Paulo,Notebook HP,3200.0,1,Cliente_4049,3200.0,Presencial,Sudeste
32259,32260,2024-04-07,São Paulo,Mouse Gamer,120.0,1,Cliente_15311,120.0,Presencial,Sudeste
32260,32261,2023-04-25,São Paulo,Notebook HP,3200.0,1,Cliente_25075,3200.0,Presencial,Sudeste
32261,32262,2023-11-06,São Paulo,Mouse Gamer,120.0,1,Cliente_3937,120.0,Presencial,Sudeste
32274,32275,2023-11-18,São Paulo,Mouse Gamer,120.0,1,Cliente_11070,120.0,Presencial,Sudeste
32281,32282,2024-10-01,São Paulo,Notebook HP,3200.0,1,Cliente_3893,3200.0,Presencial,Sudeste
32284,32285,2024-04-01,São Paulo,Cabo HDMI,40.0,1,Cliente_2299,40.0,Presencial,Sudeste
32289,32290,2024-03-23,São Paulo,Cabo HDMI,40.0,2,Cliente_7080,80.0,Presencial,Sudeste
32302,32303,2024-08-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9317,2200.0,Presencial,Sudeste
32310,32311,2023-07-29,São Paulo,Smartphone Samsung,2200.0,1,Cliente_19557,2200.0,Presencial,Sudeste
32321,32322,2024-07-04,São Paulo,iPhone 14,5500.0,1,Cliente_26568,5500.0,Presencial,Sudeste
32324,32325,2023-08-27,São Paulo,Cabo HDMI,40.0,1,Cliente_17131,40.0,Presencial,Sudeste
32329,32330,2023-01-18,São Paulo,Smartphone Samsung,2200.0,1,Cliente_11223,2200.0,Presencial,Sudeste
32333,32334,2024-01-07,São Paulo,"Monitor 27""",1200.0,2,Cliente_23328,2400.0,Presencial,Sudeste
32334,32335,2024-08-07,São Paulo,Smartphone Samsung,2200.0,1,Cliente_24149,2200.0,Presencial,Sudeste
32337,32338,2024-08-20,São Paulo,Notebook HP,3200.0,2,Cliente_29563,6400.0,Presencial,Sudeste
32343,32344,2024-10-13,São Paulo,Cabo HDMI,40.0,3,Cliente_6943,120.0,Presencial,Sudeste
32349,32350,2023-06-22,São Paulo,iPhone 14,5500.0,1,Cliente_9203,5500.0,Presencial,Sudeste
32356,32357,2023-10-28,São Paulo,Notebook HP,3200.0,1,Cliente_10378,3200.0,Presencial,Sudeste
32364,32365,2023-01-21,São Paulo,iPhone 14,5500.0,3,Cliente_18253,16500.0,Presencial,Sudeste
32370,32371,2024-06-24,São Paulo,"Monitor 27""",1200.0,2,Cliente_8082,2400.0,Presencial,Sudeste
32378,32379,2023-05-17,São Paulo,Cabo HDMI,40.0,1,Cliente_12681,40.0,Presencial,Sudeste
32384,32385,2023-06-14,São Paulo,"Monitor 27""",1200.0,1,Cliente_607,1200.0,Presencial,Sudeste
32392,32393,2024-07-14,São Paulo,"Monitor 27""",1200.0,1,Cliente_14206,1200.0,Presencial,Sudeste
32394,32395,2024-12-14,São Paulo,iPhone 14,5500.0,1,Cliente_15053,5500.0,Presencial,Sudeste
32397,32398,2024-05-10,São Paulo,Teclado Mecânico,250.0,1,Cliente_23917,250.0,Presencial,Sudeste
32403,32404,2023-07-27,São Paulo,Notebook HP,3200.0,1,Cliente_22813,3200.0,Presencial,Sudeste
32407,32408,2023-07-16,São Paulo,iPhone 14,5500.0,1,Cliente_23912,5500.0,Presencial,Sudeste
32434,32435,2024-11-24,São Paulo,iPhone 14,5500.0,1,Cliente_452,5500.0,Presencial,Sudeste
32438,32439,2024-10-16,São Paulo,Mouse Gamer,120.0,1,Cliente_22443,120.0,Presencial,Sudeste
32441,32442,2024-12-07,São Paulo,Cabo HDMI,40.0,2,Cliente_5133,80.0,Presencial,Sudeste
32458,32459,2023-04-26,São Paulo,Notebook HP,3200.0,1,Cliente_24751,3200.0,Presencial,Sudeste
32459,32460,2023-01-15,São Paulo,iPhone 14,5500.0,1,Cliente_12869,5500.0,Presencial,Sudeste
32471,32472,2023-07-04,São Paulo,iPhone 14,5500.0,1,Cliente_24466,5500.0,Presencial,Sudeste
32474,32475,2024-04-26,São Paulo,Notebook HP,3200.0,1,Cliente_12833,3200.0,Presencial,Sudeste
32483,32484,2023-11-19,São Paulo,Notebook Dell,3500.0,2,Cliente_1096,7000.0,Presencial,Sudeste
32485,32486,2024-10-21,São Paulo,Notebook Dell,3500.0,1,Cliente_20274,3500.0,Presencial,Sudeste
32497,32498,2023-09-30,São Paulo,"Monitor 27""",1200.0,1,Cliente_1340,1200.0,Presencial,Sudeste
32498,32499,2024-11-05,São Paulo,Mouse Gamer,120.0,1,Cliente_243,120.0,Presencial,Sudeste
32499,32500,2024-04-04,São Paulo,Notebook HP,3200.0,1,Cliente_23934,3200.0,Presencial,Sudeste
32511,32512,2024-09-23,São Paulo,Mouse Gamer,120.0,1,Cliente_12766,120.0,Presencial,Sudeste
32514,32515,2024-06-05,São Paulo,Cabo HDMI,40.0,1,Cliente_7058,40.0,Presencial,Sudeste
32515,32516,2023-05-26,São Paulo,Cabo HDMI,40.0,1,Cliente_9140,40.0,Presencial,Sudeste
32525,32526,2024-09-10,São Paulo,Mouse Gamer,120.0,1,Cliente_8170,120.0,Presencial,Sudeste
32532,32533,2024-06-09,São Paulo,Teclado Mecânico,250.0,2,Cliente_22967,500.0,Presencial,Sudeste
32534,32535,2024-04-20,São Paulo,"Monitor 27""",1200.0,2,Cliente_23439,2400.0,Presencial,Sudeste
32538,32539,2023-09-22,São Paulo,Notebook HP,3200.0,2,Cliente_5081,6400.0,Presencial,Sudeste
32570,32571,2024-12-12,São Paulo,"Monitor 27""",1200.0,5,Cliente_3661,6000.0,Presencial,Sudeste
32579,32580,2023-10-28,São Paulo,Teclado Mecânico,250.0,1,Cliente_13563,250.0,Presencial,Sudeste
32583,32584,2023-01-10,São Paulo,Mouse Gamer,120.0,1,Cliente_21003,120.0,Presencial,Sudeste
32596,32597,2023-10-02,São Paulo,Smartphone Samsung,2200.0,1,Cliente_19853,2200.0,Presencial,Sudeste
32603,32604,2023-07-13,São Paulo,"Monitor 27""",1200.0,1,Cliente_6279,1200.0,Presencial,Sudeste
32611,32612,2023-04-20,São Paulo,Mouse Gamer,120.0,1,Cliente_17311,120.0,Presencial,Sudeste
32613,32614,2023-05-22,São Paulo,Notebook HP,3200.0,1,Cliente_7185,3200.0,Presencial,Sudeste
32614,32615,2023-03-28,São Paulo,Cabo HDMI,40.0,1,Cliente_26,40.0,Presencial,Sudeste
32625,32626,2024-02-01,São Paulo,Smartphone Samsung,2200.0,1,Cliente_16433,2200.0,Presencial,Sudeste
32628,32629,2023-03-22,São Paulo,Teclado Mecânico,250.0,2,Cliente_20741,500.0,Presencial,Sudeste
